term_id,name,slug,description,display_type,parent,thumbnail
15,Unkategorisiert,unkategorisiert,,default,0,
44,"Injection molded",injection-molded,,default,0,
45,"Uv printed",uv-printed,,default,0,
46,"Pad printed",pad-printed,,default,0,
47,"Laser cutted",laser-cutted,,default,0,
48,"Laser engraved",laser-engraved,,default,0,
49,Chromed,chromed,,default,0,
50,"3d printed",3d-printed,,default,0,
51,Painted,painted,,default,0,
52,Molded,molded,,default,0,
53,"Resin casted",resin-casted,,default,0,
54,Decalled,decalled,,default,0,
55,Decals,decals,,default,0,
56,Weapons,weapons,,default,0,
57,Clothing,clothing,,default,0,
58,Helmets,helmets,,default,0,
59,Sets,sets,,default,0,
60,Minifigures,minifigures,,default,0,
61,"Star Wars",star-wars,,default,0,
62,Superheros,superheros,,default,0,
63,"Limited edition",limited-edition,,default,0,
64,Handmade,handmade,,default,0,
81,Superheroes,superheroes,,default,0,
